,texts,tables,images
1050,"The text discusses various spacing units used in typography, all of which are based on the em. The en space is half an em space, while the thin space is traditionally half an en space, but often reduced to one-eighth of an em in page layout programs. A hair space is often equal to half a thin, and a figure space is equal to the width of the numerals in a typeface. These spaces are referred to as fixed spaces as their widths are constant unless the point size of the type changes. The word space, however, is different as its width is defined within each font and can be adjusted to meet composition goals.",,
1051,"The text discusses various units of measure used in typesetting and page layout programs. The ""didot"" system, created by the French in the 18th century, is based on the didot point, with 12 making up a cicero. This system is still somewhat used in Europe. The term ""agate"" refers to a 5'4-point type once used for classified advertising, which sets 14 lines to the inch. This term is becoming increasingly obscure. The text also mentions the use of figure spaces in positioning the dollar sign in alignment with numerals in a typeface. Lastly, it notes that the width of a word space can vary significantly from one typeface to another.",,
1052,"The text discusses the difference between the terms ""font"" and ""typeface"" in typography. A typeface refers to a collection of characters designed to work together, essentially an alphabet with a specific design. On the other hand, a font is the physical description of a typeface, used to image the type. The text also explains that the design and proportion of letters on a printed page reflect the design qualities of a specific typeface, which are stored in a font. The baseline of type is also discussed, which is the invisible line upon which the characters sit and is the reference point from which spaces between lines of type are measured.",,
1053,"The text discusses the New Century Schoolbook Roman font, created on October 9, 1989. It provides technical details about the font, including its creation date, usage, full name, family name, weight, and other specific characteristics. The text also explains the confusion between the terms 'font' and 'typeface', stating that the term 'font' is often ambiguously used in computer programs. It suggests that 'typeface' would be a more accurate term. The text further discusses the concept of the 'em square' in type design and typography, which is the basis for relative units of measurement in type size. The widths of characters are expressed in fractions of an em, and the em square is the grid upon which all characters in a font are created.",,
1054,"The baseline is an invisible line on which all letters in a line of type sit. Its position within the em square can vary depending on the font design. On average, it is located about one-third of the way up from the bottom of the em square. The baseline's location is disclosed in the font's coding to allow different typefaces to share a common baseline. Line spacing, or leading, is measured from baseline to baseline. The baseline of the first line of type on a page is the starting point from which the rest of the type in that column is measured. The distance between the baseline and the mean line measures the x-height of the typeface. The x-heights of typefaces can vary widely.",,
1055,"The text discusses the concept of x-height in typography, which is the height of lowercase letters measured from the baseline to the top of the letter 'x'. The trend is towards larger x-heights, especially in digital formats, as it improves legibility. The text also explains that the terminology used in typography and the shapes of letters have been influenced by calligraphy. The thickness of the strokes in a letter, which can vary and is known as stress, is another important aspect of typography.",,
1056,"Serifs are finishing touches at the ends of a character's main strokes, aiding in differentiating one character from another and improving legibility. Originating from ancient Greece, serifs are a key factor in categorizing typefaces into seriffed and sans serif (without serifs) categories. Serifs provide a horizontal texture to type, enhancing readability. There are various types of serifs, each differing in shape, size, and bulk, and often influencing the naming of type styles.",,
1057,"The text describes different types of serifs used in typography. Bracketed serifs blend into the main stroke of the letter with a smooth curve and are commonly used in text faces. Unbracketed serifs meet the main strokes at a sharp angle, giving the letter a more defined shape. Slab serifs are uniform in thickness and enhance legibility, often used in text types. Hairline serifs are extremely fine and unbracketed, often seen in modern typefaces. Wedge serifs are triangular and less common. The text also mentions that the length of ascenders and descenders can vary significantly between different typefaces, affecting how various types are leaded.",,
1058,"The text discusses the features of typography, specifically ascenders, descenders, and ink wells. Ascenders are the parts of lowercase letters that rise above the mean line, while descenders extend below the baseline. Their heights and depths can vary widely depending on the typeface. In the past, typefaces often came in two varieties with short or long ascenders/descenders, but this is not common in electronic formats. Some typefaces have taller ascenders which may require adjustment in line spacing. The text also mentions ink wells, a feature in older type designs where a gap is left in the letter shape to be filled with ink. This feature is often visible in printed advertisements due to improvements in presswork.",,
1059,"The text discusses the intricacies of typeface design, particularly in relation to printing processes and optical aspects. It explains that typefaces designed for high-speed printing on cheap paper, such as telephone books, have a skeletal appearance due to the ink spread. The text also highlights the importance of visual alignment in typography, explaining that round-bottomed characters and lowercase letters with rounded tops are designed to extend slightly below the baseline and above the mean line, respectively, to compensate for their graphical weakness. This is known as overshoot. The text further discusses how the appearance of type changes with size, noting that type proportioned for optimal legibility at common reading sizes becomes hard to read when scaled down and that white spaces appear to grow faster than the typeset characters as type size increases.",,
1060,"The text discusses the complexities of typesetting, particularly the optical illusion that larger type appears more loosely set than smaller type. To compensate for this, the spacing of larger type needs to be tightened. The text also explains how the design of letterforms must change with their size, a process addressed within the font itself. For smaller sizes, this involves increasing the x-height of characters, making them bolder and wider, and enlarging their open spaces. These adjustments enhance legibility, create a harmonious graphic presentation, and make the characters easier to print.",,
1061,"The text discusses the evolution of typeface designs with the advent of phototype and digital fonts. Initially, popular typefaces had more than two fonts, each representing a distinct master design. However, with digital fonts, most character images are generated from a single master set of outlines. Efforts to correct this limitation have led to the development of TrueType and OpenType font formats, which allow a single font to contain multiple sets of master character outlines for specific point-size ranges. However, designing such fonts is complex and costly, resulting in few available multiple-master fonts.",,
1062,"The text discusses the differences between seriffed and sans serif typefaces, their history, and their uses. Serifs are small lines or strokes attached to the ends of larger strokes in a letter or symbol. Sans serif typefaces, on the other hand, do not have these small lines. Examples of these are Times Roman (seriffed) and Helvetica (sans serif). Serifed typefaces are generally easier to read and are therefore preferred for long texts. Sans serif typefaces are often used for titles and display roles. The text also mentions Futura, a geometric sans serif, and Optima, a humanist sans serif. The popularity of sans serif faces increased with the rise of display advertisements. The Bauhaus design school contributed to the development of many popular sans serif faces, including Futura and Univers.",,
1063,"The text discusses the variations in typeface weight, which refers to the thickness of the principal strokes of the letters. The weight of a typeface can range from light to bold and is often described using various terms that are not standardized. The weight can vary due to factors such as changes in character size, historical, aesthetic, or practical reasons. For instance, older metal types were bolder due to the demands of the printing technology of the time. The text also mentions that the definition of 'light' and 'bold' is relative and can vary based on the typeface. Nowadays, it's common to refer to the weight of a typeface designed for text use as 'regular', with other names like 'medium' and 'book' also being used. The Helvetica family is given as an example of a typeface with a wide range of weights.",,
1064,"The text discusses the history and characteristics of Roman and Italic typefaces. Roman types, inspired by inscriptions on Trajan’s column in Rome, were innovated in the late fifteenth century and have an upright structure. They evolved into the letterforms used for text today. On the other hand, Italic typefaces were developed by Aldus Manutius in Venice as a way to fit more type onto a page. These were based on a popular hand-lettering form called cursiva humanistica and were initially called Aldinos before being known as italics. The use of italics as text types decreased over time, but they remained as a stylistic counterpoint to Roman types. The text also mentions that typefaces typically have variants with different weights, and the definitions of terms like italic and oblique are not always clear-cut.",,
1065,"The text discusses obliques, a type of typeface that is a slanted variation of the roman face. Helvetica Italic is an example of an oblique. Obliques are not simply slanted versions of their roman equivalents, but are designed from scratch to maintain the correct proportions of the characters. The text also discusses variations in typeface width. Wide characters are rare as they lose legibility quickly, and are usually used for display purposes. On the other hand, making typefaces narrower does not have as much of an impact, and there are several variations of narrow typefaces.",,
1066,"The text discusses typeface families, which are groups of faces designed to work together harmoniously. The typical typeface family consists of four members: regular, bold, italic, and bold italic. This practice became standard only in the twentieth century, hence some older typeface families have fewer than four members. However, popular typefaces often expand to include dozens of members, especially sans serif faces. The text also mentions that our comprehension of text is largely based on the tops of lowercase letters, and that text faces are designed for business and reading, display types command attention, and decorative faces evoke moods and are used as eye-stoppers.",,
1067,"The text classifies typefaces into three categories: text, display, and decorative. Text faces are designed for readability in long passages of text, like in books and magazines. Display faces are designed for larger point sizes and are used in headings, titles, and headlines. They are meant to be eye-catching, legible, and versatile. Decorative faces are used for advertising and are designed to grab attention, often at the cost of legibility. The text also discusses nonalphabetic fonts, or pi fonts, which include symbols and ideograms used alongside the Latin alphabet. Examples of common pi fonts include Symbol, rrc Zapf Dingbats, Wingdings, Webdings, and Monotype Sorts.",,
1068,"The text discusses the classification of Latin-based typefaces according to historical design trends. It mentions three main categories: old style, transitional, and modern. Old style typefaces, designed in Italy in the late 15th and early 16th centuries, are characterized by slight contrast between thick and thin strokes and an oblique stress. They remain popular for setting text. The text also mentions a subcategory within old style, the Garaldes, which originated in 16th-century France and includes the work of Claude Garamond. These typefaces are more refined, with a more pronounced contrast between thick and thin strokes, horizontal crossbars, and finer, more delicate serifs.",,
1069,"The text discusses the evolution of typefaces from the late fifteenth century to the modern era. Monotype’s Italian Old Style is a classic Venetian old-style face with little contrast between thick and thin strokes and a strongly diagonal stress. Stempel Garamond, a French refinement, has more contrast, shallower angles for the serifs, and more vertical stress. The transitional Baskerville moved the old-style form towards the modern, showing more contrast in stroke weights and vertical stress. Modern faces like Bodoni took these changes to an extreme with exaggerated stroke contrast and unbracketed serifs. Transitional typefaces, which began to emerge at the end of the seventeenth century, increased the contrast between thicks and thins in character strokes. They are still popular for book, journal, and magazine work.",,
1070,"The text discusses the evolution of modern typefaces, which originated in the mid-eighteenth century and are characterized by an engraved look, thin strokes, and unbracketed serifs. These typefaces, such as Bodoni, are often used in art books and newspaper headlines. The text also highlights the confusion that can arise from typeface naming, as many names are in the common domain and can be used by different vendors. Therefore, it's crucial to specify not only the typeface name but also the vendor when selecting fonts for a job.",,
1071,"The text discusses the confusion and inconsistency in typeface names, using the terms ""gothic"" and ""antique"" as examples. The term ""gothic"" has been used to describe a variety of sans serif designs, while ""antique"" has been used inconsistently by designers in different countries. The text suggests that while standardized descriptive labels would be useful, commercial pressures have led to the creation of creative and distinctive names. The text also introduces the technical aspects of working with fonts, including different font formats and cross-platform compatibility issues.",,
1072,"The text discusses two types of fonts used in digital devices: bitmapped and outline fonts. Bitmapped fonts are created by drawing each character as an array of dots, with each dot represented by one bit of computer data. However, as the resolution or size of the character images increases, the number of dots and the amount of data required also increases. This necessitates a separate font for every size of type, which can be inefficient. Outline fonts, on the other hand, store character images as mathematical outlines of curves and straight-line segments. These can be scaled to any size without distortion and are filled in with dots of the appropriate size for the device. While bitmapped fonts were once common for screen display, most operating systems now use outline fonts for both screen display and high-resolution printing.",,
1073,"The text discusses the components and functions of a font. A font contains all the necessary information to position and image characters. The most crucial part of a font is the character outlines, which are size independent. The collection of characters in a font is called its character set, which is standardized for most alphanumeric fonts. A font also includes a width table that lists the horizontal space for each character, which is used by computer programs to calculate line fill. Fonts may also contain tables for the widths of other members in its family, allowing a computer program to compose type for all members using only the regular font. Additionally, a font contains a kerning table, which lists specific letter pairs and how the spacing between them should be adjusted.",,
1074,The PostScript Type 1 character set refers to a collection of characters or symbols used in the PostScript Type 1 font format. This format was widely used for printing and high-resolution imaging.,,
1075,"The text discusses the character sets of different OpenType fonts from Adobe, Bitstream, and Monotype. It explains that a standard PostScript Type 1 font can contain 256 characters, but 33 slots are taken by commands and 2 by spaces. Adobe and Bitstream have added characters to their OpenType fonts, while Monotype uses the same character set as Adobe, with a few exceptions. The text also discusses the difference between true and synthesized fonts, with the latter being computer-generated interpolations of the plain roman font. Lastly, it explains that font format can refer to the platform for which the font was designed or how the typographic information is described and organized. The three leading font formats today are PostScript, TrueType, and OpenType.",,
1076,"PostScript fonts, written in the PostScript page description language, require a PostScript interpreter to be processed. This interpreter is usually built into high-resolution printers and imagesetters, while for lower-resolution devices, it's built into the operating system. PostScript fonts are often accompanied by a set of bitmapped fonts for screen display. The most common type of PostScript font is Type 1. Although the PostScript format has been largely replaced by OpenType, PostScript fonts are still widely used and supported by applications and operating systems. However, they are platform specific, requiring different versions for Macintosh and Windows.",,
1077,"TrueType is a font format developed by Apple Computer and Microsoft in the late 1980s as an alternative to the PostScript format. It introduced improvements such as hinting, which provides instructions for character outlines to reshape at low and medium resolutions for maximum clarity. TrueType also allowed for larger character sets by introducing a two-byte numbering system, enabling support for languages with large character sets like Chinese, Japanese, and Korean. Despite being included in major operating systems, many digital font foundries have shifted to OpenType due to its cross-platform compatibility. TrueType fonts are platform-specific and use a different technology than PostScript for describing character outlines.",,
1078,"The text discusses two types of fonts: Macintosh Dfonts and OpenType fonts. Macintosh Dfonts are a variety of TrueType font that have no resource fork and are included in OS X for compatibility with other computers running the UNIX operating system. However, documents formatted with Dfonts will not display correctly on Macs running operating systems that predate OS X. 

On the other hand, OpenType is a hybrid font format created by Adobe and Microsoft, reconciling the differences in the PostScript and TrueType formats. OpenType fonts can be used on either a Macintosh or a Windows PC and can contain TrueType font data, PostScript font data, or both. However, it's difficult to know what's inside an OpenType font from the outside. OpenType fonts also enable a variety of layout features, allowing a typesetting program to automatically substitute one character for another.",,
1079,"Web fonts are fonts that are optimized for display on electronic devices. They can be designed specifically for electronic display or adapted from existing fonts. Web standards allow designers to specify the use of certain fonts in their pages, even if these fonts are not embedded in the file or available on the device displaying it. Some web fonts are free, while others require a license and fee for use. Unicode is the international standard that assigns a unique number to every character, symbol, or ideogram in all languages. It is used by both TrueType and OpenType fonts to identify characters. Despite the adoption of Unicode, vestiges of earlier numbering systems like ASCII still exist in today's computing systems. Both Windows and Mac OS support Unicode and older font formats.",,
1080,"Unicode recognizes that a single character can have multiple forms or glyphs, but it does not distinguish between different designs of the same character. All versions of a character have the same Unicode number, with the specific glyph used being determined by the typesetting or page layout application. Issues can arise when moving document files between different computer systems due to evolving font standards. The only way to ensure a document appears the same on different platforms is to use the same OpenType fonts from the same vendor. Before Unicode, Macintosh and Windows used different encoding schemes, leading to different character sets being accessible on each platform. Modern operating systems allow access to all characters, but still act as if their old encoding schemes are in use for the sake of backward compatibility. Unicode provides a standard way of indicating which characters to use across platforms, making it essential for accurate text representation.",,
1081,"The MacRoman encoding on Macintosh borrows certain characters from the Symbol font, which appear to be part of every font used. The keystroke combination Option-D, for example, always yields a lowercase Greek delta. However, these characters never match the style of the typeface being used, unless it's Times Roman. This situation is unique to the Mac and to these specific characters. This has been largely corrected in most OpenType equivalents of older PostScript fonts by incorporating these borrowed characters into their expanded character sets. The Mac OS now shows that it's using the Symbol font when these characters are set using the original keyboard commands.",,
1082,"The text discusses the use of different character sets in Windows and Macintosh programs. It explains that only Windows programs have direct keyboard access to certain characters, while only Macintosh programs can use the keyboard to access others. The text also mentions that some characters appear to be in every Mac font, but are actually borrowed from the Symbol font. The text further discusses Adobe InDesign's glyph browser, which allows users to isolate classes of characters for faster searching. It also explains how to use Windows' Character Map to see which characters are in a particular font and how to select and copy characters into a document. The text also provides information on how to use keystroke sequences to access characters directly from the keyboard.",,
1083,"The Macintosh's Keyboard Viewer is a utility that displays a keyboard layout, showing which characters are assigned to which keys. It can be accessed through the Language & Text section in System Preferences, where users can select the Keyboard & Character Viewer and the ""Show Input menu in menu bar"" options. The Keyboard Viewer can display different characters based on whether the Shift or Option keys are held down. It also allows for complex keystroke combinations to access accented characters. Users can choose different languages or keyboard layouts in the Input Sources pane, which will then be displayed in the Keyboard Viewer.",,
1084,"The Mac OS has two main tools for handling Unicode fonts with large character sets: Font Book and Character Viewer. Font Book is a font manager that controls which fonts are active and allows users to view the entire character set of any installed font. However, it does not allow for adding characters to documents. This is the role of Character Viewer, which displays all characters in all installed fonts and allows users to add specific characters to documents. Users can also use the Unicode 1p number of a character to access it directly from the keyboard, though this disables some familiar keyboard commands. Page layout programs also offer tools for browsing font contents and copying characters into text.",,
1085,"Before Unicode and OpenType, fonts were limited to 256 characters, leading to the creation of ""expert sets"" or alternate fonts to accommodate additional characters. These included old-style numerals, small capitals, ligatures, and swash characters. However, these fonts were not standard and often required changing the font for a single character. They also predated Unicode, so many characters did not have standard Unicode numbers. With the advent of OpenType and TrueType, these alternate fonts are becoming obsolete as extended character sets are now incorporated into a single font.",,
1086,"The text discusses the issue of encoding characters that are not included in the Unicode Standard. Unicode assigns specific numbers to characters, but when a type designer creates characters not included in the Unicode list, these are assigned to a range of numbers designated for ""Private Use"". The meaning of these Unicode numbers can vary from font to font. OpenType fonts can contain links among characters to clarify that a character is an alternate form of a standard Unicode character. The OpenType font format also allows for the automatic substitution of alternate characters when available. The text also mentions the possibility of keyboards changing layouts when fonts change in the future.",,
1087,"The text discusses various typographic features and their uses. Small caps are reduced-size capital letters used for acronyms and abbreviations, and should be specifically designed rather than electronically scaled down. Alternate numerals are variations of standard numerals with proportional widths or old-style forms. Automatic fractions can be generated with OpenType fonts that contain the necessary glyphs. Alternate ligatures are fused characters used to alleviate awkward character-shape interactions. Swash characters are exaggerated extensions to the strokes of certain characters. Superscripts and subscripts are not discussed in the provided text.",,
1088,"The text discusses various aspects of typography, including the use of superscripts, subscripts, and ordinals in mathematical and scientific notation, as well as in different languages. It also covers titling characters, case-specific forms, contextual alternates, positional forms, and slashed zeros. The text further explains stylistic sets, which are alternate glyph categories designated by the typeface designer. The latter part of the text focuses on identifying font formats, such as PostScript, TrueType, and OpenType, and their idiosyncrasies and functional differences. It emphasizes the importance of knowing the formats of the fonts before installing them and creating a method for tracking them. The text concludes by stating that it no longer matters whether an OpenType font contains TrueType or PostScript font data, as both work equally well on all computers and output devices.",,
1089,"The text discusses how to identify different types of fonts on a Macintosh computer. OpenType fonts have an icon that shows a small preview of the typeface, starting from OS X 10.5. PostScript Type 1 fonts, which predate OS X, appear without filename extensions in Mac Finder windows. These can be identified using the Get Info function. Each font family member is a separate file, often with abbreviated names. In early OS X versions, PostScript fonts had the label LtwENn, while screen fonts were labeled Fr1i.",,
1090,"Starting with OS X 10.5, Mac font icons display a sample of the typeface the font represents. Users can choose to display filename extensions, but this may not work with older PostScript fonts. The icons for Centaur font show the outline (printer) font and its bitmapped (screen) complement. TrueType fonts are usually displayed with .ttf or .ttc extensions, with the latter representing a collection of typefaces. The Finder's List view only shows file names, while the Column view can display a preview of the font and information on its format.",,
1091,"The text discusses the different formats of Windows fonts. In older versions of Windows, fonts were identified with unique icons and filename extensions were displayed in the Fonts folder. TrueType font names have the extension .ttf or .ttc, and these can also be used for OpenType fonts. In Windows 7 or later, the Details view for the Font menu can be used to display each font's format and other information. PostScript Type 1 fonts have the filename extension .pfb and .pfm. The text also mentions that the names of most PostScript fonts are often unintelligible due to the limitation of older font file names to eight characters plus a filename extension of three more characters. However, when placed in the Windows/Fonts folder, Windows reads the true name of the typeface from within the font and displays it in readable form.",,
1092,"The text discusses the management of fonts in both Windows and Mac operating systems. In Windows, font files are stored in the Windows/Fonts folder, where new fonts can be installed. On a Mac, font files are stored in Fonts folders in each of the Library folders on the computer, with different levels of accessibility depending on the folder. Some applications store fonts in their own folders for exclusive use. The text also mentions font management programs, which help organize and manage fonts, reducing system slowdown and making fonts easier to find. Mac OS X includes its own font management program, Font Book, while Windows users must seek out independent software developers for similar utilities.",,
1093,"Font-editing programs are tools used by type designers to create and edit fonts. They can be used to add characters to a font or improve the kerning information. However, edited fonts become unique and can cause confusion if not properly named. If a document using a custom font is opened in a place where the font is unavailable, it can disrupt the layout. Customized fonts need to be used with care and control to avoid confusion. The choice of typeface is not just aesthetic but also carries practical information. It affects the legibility and readability of a text. Typefaces can be made visible in various media, including computer screens, printed pages, and projected images.",,
1094,"The text discusses the concept of readability in typography, emphasizing that the legibility of typefaces is largely a matter of habit. It mentions that while some typefaces are easier to read than others, the most readable ones are those that readers are accustomed to. The text also highlights that readability studies often yield contradictory results. For instance, while it has been traditionally believed that seriffed types are easier to read than sans serif types, and roman types more readable than italic types, recent studies have challenged these assumptions. One study found that readers accustomed to Fraktur type, a black-letter type popular in Germany until World War II, read at similar speeds to those used to roman types. The text concludes by stating that for typical texts, the common choice is a seriffed face without much contrast between thick and thin strokes.",,
1095,"The standard typeface for running text is typically a seriffed roman, although there are advocates for sans serif types. The use of sans serif type for text increased with the advent of desktop publishing, with Helvetica being a commonly used typeface. However, sans serif types are more often used in display roles such as headings, titles, and advertising. The first commercial sans serif was created by William Caslon IV in the early 19th century and was used for advertising. The term ""grotesque"" was also used to refer to sans serif faces during this time, a term that is still used today. Helvetica was modeled after the late-nineteenth-century sans called Akzidenz Grotesque.",,
1096,"The text discusses the common features of text faces, with a focus on Times Roman, a popular typeface originally designed for the Times of London in the 1930s. It is noted that Times Roman has comparatively narrow characters, which were initially intended for newspaper columns but were later adopted by book publishers due to paper-saving benefits. However, the text suggests that Times Roman is often used inappropriately, as it can make text appear crowded, especially in wider line lengths typical of books and journals. Other typefaces, such as Stempel Garamond, are mentioned as having a more standard width and creating a more open impression on the page.",,
1097,"The text discusses the characteristics of popular text faces, noting their similarities such as seriffed faces, similar proportions, and consistent contrast between thick and thin strokes. This contrast creates a visual rhythm that is not jarring. The text also compares different text faces like Baskerville and Bodoni. The text then discusses the role of political parties in free countries, suggesting they serve as checks on government administration and help maintain the spirit of liberty. However, this spirit is not encouraged in purely elective governments. The text also mentions the vertical proportions of text faces and the use of bold and italic faces for emphasis in typography.",,
1098,"The text discusses the uses of different type weights in typography. Regular weight is the most common, with bolder and lighter versions typically used for display purposes. Bold type is often used for headings and subheadings, adding graphic diversity and serving as visual punctuation. However, within running text, italics are preferred for emphasis as bold can be obtrusive. Exceptions include safety warnings and index citations. Italics are also used for various purposes such as emphasizing book titles, names of art works, films, plays, TV shows, periodicals, technical terms, definitions, names of ships and aircraft, single letters, genera and species, and foreign words not adopted into popular usage. Punctuation following italicized words is typically set in roman type, as are possessive 's' and the preceding apostrophe.",,
1099,"Condensed or compressed typefaces, which have narrower character widths than regular typefaces, are often used for captions, footnotes, etc. Extended or expanded faces are typically used for display roles, with Century Expanded being a notable exception. Serifed faces generally do not adapt well to condensed form due to their complex features. Most condensed and expanded typefaces are sans serif types, used for contrast or space-saving in display situations. Electronic fonts allow for character width alteration without affecting height, but this can lead to distortion if the changes are not subtle. The text also mentions that electronically created condensed and expanded versions of typefaces do not look as good as designed ones.",,
1100,"The text discusses the differences between display type and text faces in typography. Display types are used for short bursts of text and are not bound by the same design rules as text faces, which prioritize readability. Display types are often bolder and more evocative. The original display types, known as titling faces, usually consist only of capital letters. Text faces, designed for small sizes and legibility, do not perform well in display roles as they can appear too wide and weak when enlarged. Sans serif types are the most effective for display due to their assertiveness and attention-grabbing nature. The tracking, or letter spacing, of display type is usually tightened, sometimes to the point where letters touch or overlap.",,
1101,"The text discusses the use of decorative type and colored type in design. Decorative type is often used in advertising to grab readers' attention and is characterized by its exaggerated, quirky, and often illegible style. It can also evoke a historical period, design trend, or cultural trait. However, care must be taken when setting decorative type due to potential issues with character fitting and kerning. 

The text also discusses the challenges of using colored type. Traditional text typefaces were designed for black ink on white paper, so using colored inks or backgrounds can reduce contrast and clarity. To compensate, the type may need to be larger or bolder, and sans serif types may work better due to their sturdier construction. Printing colored type, especially on a colored background, requires precision.",,
1102,"The text discusses the complexities of printing typography, particularly in color. It explains that printing type composed of blends of three or four ink colors requires great precision to avoid misalignment, which can result in a halo effect. The text also mentions that small type is particularly problematic, as even slight misregistration can cause the type to appear out of focus or multicolored. The author suggests printing small type in a solid, unscreened, unblended color to avoid these issues. The text also warns that printing type in color can be problematic at all sizes, not just small ones.",,
1103,"The text discusses the challenges and solutions of printing in reverse (white on black). The black background can visually encroach on the white type, making it appear thinner, especially at smaller text sizes. This effect can be exacerbated by the spread of ink during printing and the use of absorbent paper. Technical solutions include adjusting the imagesetter exposure and choosing appropriate typefaces and point sizes. Low-contrast typefaces and semibold text faces are recommended, while italics can be problematic. Increasing the spacing between letters can also help. Sans serif faces generally work better in reverse than seriffed ones. It is advised to consult a printer's proof in critical situations to assess the effectiveness of the reverse before proceeding with the print job.",,
1104,"The text discusses the differences between typesetting and typewriting, and the transition from the latter to the former. It explains how reversed type is displayed on electronic devices, where the pixels around the type are illuminated to create a white background, while the type itself appears black. When reversed, the type is represented by glowing pixels, which can cause small or tightly spaced type to blend together. The text also discusses the constraints of a typewriter, such as the fixed page size and the single column of type it can create. Despite the shift to word processors, the standard business page size has not changed, and business documents are still influenced by typewriter-like formatting. The relationships among point size, line length, and line spacing are also mentioned.",,
1105,"The text discusses the use of spaces in typewriting and typesetting. In typewriting, spaces are always the same size and can be used for paragraph indents or gaps in a line. However, in word processors and typesetting programs, spaces have no fixed width and their size can vary depending on the typeface and line length. The text suggests that indents should be created with a program's indention commands or the Tab key, and gaps in text should be created with fixed spaces like em and en spaces. The practice of using two spaces after a sentence-ending period, which was common on typewriters, is now considered outdated. The text recommends using a program's search-and-replace tool to replace all instances of consecutive word spaces with single word spaces when a manuscript is ready for typesetting.",,
1106,"The text discusses the concept of line endings and carriage returns in typewriting and typesetting. In typewriting, a carriage return is used to end a line and start a new one. In computers, the return command is a combination of a return and a line feed, which advances the paper by one line space. In typesetting, there are many line-ending commands, but only two are commonly used in word processing and page layout programs: the end-paragraph command and the end-line command. The end-paragraph command ends the current line and starts a new one, often with an indent. The end-line command, also known as a soft return, ends the current line and starts a new one without starting a new paragraph.",,
1107,"The text discusses the concept of ""quads"" in typesetting, which are spacing blocks used to fill in blank spaces on lines that don't completely fill the measure. Different commands can be used to align the text in different ways, such as quad-left, quad-right, quad-center, and quad-middle. However, these commands have not been widely adopted by word processors or page makeup programs. The text also discusses the limitations of typewriters, which only allowed for a single typeface at a single size. Despite these limitations, typographic conventions specific to the typewriter evolved and were adopted by early word processors.",,
1108,"The text discusses the issue of investors viewing the company's situation as a problem rather than an opportunity, despite the industry's overall success. The company's goal is to leverage the industry's positive reputation to improve its own standing. The text also delves into the evolution of text-processing styles, highlighting how old typewriter habits have influenced modern typesetting programs. It explains how typewriters used all caps and underlining for emphasis, and how the underscore character was used for underscoring and indicating italics. The text also mentions the use of strike-through type, a typewriter style that has become a standard typographic practice.",,
1109,"The text discusses the limitations of typewriters in terms of character availability, particularly focusing on hyphens and dashes. Typewriters could only assign two characters per key and had only one dash: the hyphen. Users would often fake other characters, such as the em dash and en dash, using the hyphen. The text also differentiates between a soft hyphen, which is added by a hyphenation program and disappears when no longer needed, and a hard hyphen, which is a permanent part of the text. The text also mentions that hyphens are often used in Hrmi documents as substitutes for other characters.",,
1110,"The text discusses the use of quotation marks, primes, and fractions in typewriting and electronic text fonts. Typewriters used upright, direction-neutral quotation marks due to limited keys, a practice carried over to the basic 128-member ASCII character set. Typographic quotation marks are available in all standard electronic text fonts, but are not intuitive to access. The use of typewriter-style quotation marks is often seen as a mistake. Primes, used to indicate feet, inches, minutes, seconds, and typographic points, were also not part of the typewriter's character set, leading to the use of typewriter-style quotation marks as substitutes. Fractions were difficult to type on typewriters due to the lack of miniature numerals for numerators or denominators. Some typewriters had built-in fractions, a practice followed by standard 256-character electronic fonts. Despite advancements in computer programs for building fractions, the fraction bar is often overlooked in favor of the typewriter-convention virgule.",,
1111,"The text discusses the differences between typewriter tabs and word processing tabs. Typewriter tabs introduced the concept of the tab stop, a position on the page that the carriage would move to when the Tab key was pressed. Word processing programs still use this concept, but the function of the Tab key is different. Instead of jumping to the next tab stop, it pushes the cursor and any text between the current position and the next tab stop. This makes navigating a table with existing text difficult with the Tab key, and instead cursor keys are recommended. The text also discusses the use of tabs for creating indents, and suggests that computer programs' automatic paragraph indents are a more efficient method. It also warns against a common typographical error of inconsistent paragraph indents caused by using both first-line indention commands and the Tab key.",,
1112,"The text discusses the evolution of typesetting and word processing on personal computers. It explains how fractions are created using different methods, with the best result achieved using numerator and denominator characters in an OpenType font. The text also discusses the transition from dedicated typesetting systems to personal computers, highlighting the challenges faced due to the complexity and cost of dedicated systems. It notes that early page layout programs were essentially word processors with limited typographical capabilities, and that the shift to personal computers was driven by a desire for more control and cost-effectiveness.",,
